Date,Start_time,End_time,Activity,Alternations,Notes
2020-06-08,13:05:02,14:35:01,Reading,0,
2020-06-08,14:37:04,15:30:40,School,0,
2020-06-08,15:30:55,15:54:00,German,0,
2020-06-08,15:54:18,17:07:04,School,0,
2020-06-08,17:52:26,18:43:22,Reading,0,
2020-06-09,09:45:47,10:06:40,Phyton,0,
2020-06-09,10:06:52,10:46:08,School,-15,
2020-06-09,10:46:21,11:08:12,CFA,0,
2020-06-09,11:08:23,12:32:12,School,-17,
2020-06-09,13:03:11,13:03:24,German,0,
2020-06-09,13:03:30,13:54:54,Reading,0,
2020-06-09,14:28:08,14:45:31,German,0,
2020-06-09,14:45:40,14:56:27,School,0,
2020-06-09,14:56:34,17:10:29,Phyton,0,
2020-06-09,17:17:29,17:17:30,Phyton,10,
2020-06-09,17:24:56,17:54:17,Reading,0,
2020-06-09,19:11:08,20:56:01,School,0,
2020-06-09,21:08:15,21:43:04,Reading,0,
2020-06-10,08:24:38,08:24:56,Reading,0,
2020-06-10,08:39:08,08:46:24,Reading,0,
2020-06-10,08:53:37,09:36:28,School,0,
2020-06-10,09:52:44,10:07:12,School,0,
2020-06-10,13:49:23,13:49:25,School,105,Toets
2020-06-10,15:46:04,16:52:50,Reading,-10,
2020-06-10,18:09:52,18:16:05,Phyton,0,
2020-06-10,19:21:49,21:08:21,Phyton,0,
2020-06-10,21:08:27,21:38:11,Reading,0,
2020-06-11,10:14:13,11:25:11,School,0,
2020-06-11,11:25:21,12:33:36,CFA,0,
2020-06-11,13:25:30,13:54:13,CFA,0,
2020-06-11,13:58:23,14:19:40,German,0,
2020-06-11,14:25:51,14:32:29,Reading,0,
2020-06-11,14:32:34,16:58:09,School,0,
2020-06-11,18:10:36,18:10:40,Reading,25,
